[Epoch 053] train=2.428497 (main=2.428497, smooth=0.813177) | val=4.341475 (main=4.341475, smooth=0.686839) | lr=4.529458e-05 | time=136.92s
[Epoch 054] train=2.418817 (main=2.418817, smooth=0.813043) | val=4.386453 (main=4.386453, smooth=0.686927) | lr=4.373334e-05 | time=138.68s
[Epoch 055] train=2.419149 (main=2.419149, smooth=0.812867) | val=4.349422 (main=4.349422, smooth=0.685470) | lr=4.217828e-05 | time=136.84s
[Epoch 056] train=2.380924 (main=2.380924, smooth=0.812151) | val=6.909154 (main=6.909154, smooth=0.687414) | lr=4.063093e-05 | time=136.81s
[Epoch 057] train=2.425285 (main=2.425285, smooth=0.812845) | val=4.128671 (main=4.128671, smooth=0.686679) | lr=3.909284e-05 | time=138.31s
[Epoch 058] train=2.413994 (main=2.413994, smooth=0.812082) | val=4.713413 (main=4.713413, smooth=0.686705) | lr=3.756551e-05 | time=140.06s
[Epoch 059] train=2.401687 (main=2.401687, smooth=0.811978) | val=5.195157 (main=5.195157, smooth=0.686271) | lr=3.605044e-05 | time=138.73s
[Epoch 060] train=2.413247 (main=2.413247, smooth=0.812993) | val=4.856963 (main=4.856963, smooth=0.685679) | lr=3.454915e-05 | time=138.98s
[Epoch 061] train=2.409609 (main=2.409609, smooth=0.812158) | val=4.787795 (main=4.787795, smooth=0.686483) | lr=3.306310e-05 | time=137.29s
[Epoch 062] train=2.409823 (main=2.409823, smooth=0.812163) | val=4.261159 (main=4.261159, smooth=0.686128) | lr=3.159377e-05 | time=137.05s
[Epoch 063] train=2.393484 (main=2.393484, smooth=0.811657) | val=5.074267 (main=5.074267, smooth=0.685886) | lr=3.014261e-05 | time=137.93s
[Epoch 064] train=2.393409 (main=2.393409, smooth=0.812116) | val=4.280910 (main=4.280910, smooth=0.686760) | lr=2.871104e-05 | time=138.73s
[Epoch 065] train=2.385884 (main=2.385884, smooth=0.811873) | val=4.802629 (main=4.802629, smooth=0.687332) | lr=2.730048e-05 | time=140.13s
[Epoch 066] train=2.391324 (main=2.391324, smooth=0.811731) | val=4.451088 (main=4.451088, smooth=0.687589) | lr=2.591232e-05 | time=139.98s
[Epoch 067] train=2.390755 (main=2.390755, smooth=0.811825) | val=4.647128 (main=4.647128, smooth=0.687327) | lr=2.454793e-05 | time=140.01s
[Epoch 068] train=2.389487 (main=2.389487, smooth=0.811765) | val=4.860158 (main=4.860158, smooth=0.685496) | lr=2.320866e-05 | time=138.32s
[Epoch 069] train=2.388989 (main=2.388989, smooth=0.811758) | val=4.672499 (main=4.672499, smooth=0.685982) | lr=2.189583e-05 | time=137.00s
[Epoch 070] train=2.375498 (main=2.375498, smooth=0.811816) | val=4.395194 (main=4.395194, smooth=0.686818) | lr=2.061074e-05 | time=136.93s
[INFO] Early stopping triggered at epoch 70.
[INFO] Best epoch=20, best_val_loss=1.500209
[INFO] Test metrics | MAE=79.436569, RMSE=148.040405, R2=0.437849, MAPE=36.794708, valid_ratio=0.8988
[INFO] Prediction subplot groups (experiments): 5
[INFO] Training finished.
