Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1669219183320,0,0,0,0,0,0,5.14286,0,0,0,0,0,0,0,0,0,0,0
1669219183570,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219183820,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1669219184070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219184320,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219184570,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219184820,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1669219185070,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219185320,0,0,0,0,0,0,5.85714,0,0,0,0,0,0,0,0,0,0,0
1669219185570,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1669219185820,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219186070,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219186320,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219186570,8,4,0,0.001568,1,0,5.66667,13.2857,7,0,0.1,2,0,34.9294,31,3,3,1
1669219186820,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1669219187070,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1669219187320,0,0,0,0,0,0,5.28571,0,0,0,0,0,0,0,0,0,0,0
1669219187570,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219187820,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1669219188070,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1669219188320,0,0,0,0,0,0,5.57143,0,0,0,0,0,0,0,0,0,0,0
1669219188570,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219188820,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219189070,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219189320,0,0,0,0,0,0,5.28571,0,0,0,0,0,0,0,0,0,0,0
1669219189570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219189820,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219190070,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219190320,0,0,0,0,0,0,5.42857,0,0,0,0,0,0,0,0,0,0,0
1669219190570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219190820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219191070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219191320,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219191570,4.42857,7,0,0.001664,2,0,4.83333,13.2857,7,0,0.1,2,0,34.4872,31,6,6,1
1669219191820,0,0,0,0,0,0,4.66667,0,0,0,0,0,0,0,0,0,0,0
1669219192070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219192320,0,0,0,0,0,0,4.85714,0,0,0,0,0,0,0,0,0,0,0
1669219192570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219192820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219193070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219193320,0,0,0,0,0,0,4.57143,0,0,0,0,0,0,0,0,0,0,0
1669219193570,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1669219193820,0,0,0,0,0,0,4.66667,0,0,0,0,0,0,0,0,0,0,0
1669219194070,0,0,0,0,0,0,4.16667,0,0,0,0,0,0,0,0,0,0,0
1669219194320,0,0,0,0,0,0,4.28571,0,0,0,0,0,0,0,0,0,0,0
1669219194570,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219194820,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219195070,0,0,0,0,0,0,3.83333,0,0,0,0,0,0,0,0,0,0,0
1669219195320,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219195570,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219195820,0,0,0,0,0,0,3.66667,0,0,0,0,0,0,0,0,0,0,0
1669219196070,0,0,0,0,0,0,3.83333,0,0,0,0,0,0,0,0,0,0,0
1669219196320,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219196570,4.57143,7,0,0.001728,2,0,4,13.2857,7,0,0.1,2,0,34.4066,31,6,6,1
1669219196820,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219197070,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219197320,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219197570,0,0,0,0,0,0,3.83333,0,0,0,0,0,0,0,0,0,0,0
1669219197820,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219198070,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219198320,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219198570,0,0,0,0,0,0,3.83333,0,0,0,0,0,0,0,0,0,0,0
1669219198820,0,0,0,0,0,0,3.66667,0,0,0,0,0,0,0,0,0,0,0
1669219199070,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219199320,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219199570,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219199820,0,0,0,0,0,0,3.83333,0,0,0,0,0,0,0,0,0,0,0
1669219200070,0,0,0,0,0,0,3.66667,0,0,0,0,0,0,0,0,0,0,0
1669219200320,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219200570,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219200820,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219201070,0,0,0,0,0,0,3.83333,0,0,0,0,0,0,0,0,0,0,0
1669219201320,0,0,0,0,0,0,3.85714,0,0,0,0,0,0,0,0,0,0,0
1669219201570,4.42857,7,0,0.001664,2,0,4.16667,13.2857,7,0,0.1,2,0,34.0731,31,6,6,1
1669219201820,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219202070,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219202320,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219202570,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219202820,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1669219203070,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
